graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
cond-mat.mtx;0;S;0.015837;1;16264;3764;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
cond-mat.mtx;1;F;0.002065;-1;-1;-1;6010.566176;0.000000;6010.566176;0.000000;6010.566176
cond-mat.mtx;2;S;0.009727;1;6953;1659;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;3;F;0.002298;-1;-1;-1;1221.918073;0.000000;1221.918073;6010.566176;7232.484250
cond-mat.mtx;4;S;0.007087;1;2565;706;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;5;F;0.002050;-1;-1;-1;285.824684;0.000000;285.824684;7232.484250;7518.308934
cond-mat.mtx;6;S;0.005265;1;795;218;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;7;F;0.001670;-1;-1;-1;55.696421;0.000000;55.696421;7518.308934;7574.005355
cond-mat.mtx;8;S;0.003872;1;234;76;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;9;F;0.001548;-1;-1;-1;12.829818;0.000000;12.829818;7574.005355;7586.835173
cond-mat.mtx;10;S;0.003205;1;53;16;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;11;F;0.001498;-1;-1;-1;2.035749;0.000000;2.035749;7586.835173;7588.870922
cond-mat.mtx;12;S;0.003218;1;17;5;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;13;F;0.001537;-1;-1;-1;0.528210;0.000000;0.528210;7588.870922;7589.399133
cond-mat.mtx;14;S;0.003286;1;6;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;15;F;0.001520;-1;-1;-1;0.174242;0.000000;0.174242;7589.399133;7589.573375
cond-mat.mtx;16;S;0.067655;2;664;277;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;17;F;0.002067;-1;-1;-1;590.630457;500.522815;90.107642;7589.573375;7679.681017
cond-mat.mtx;18;S;0.066753;2;100;36;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;19;F;0.001777;-1;-1;-1;46.716288;39.576926;7.139362;7679.681017;7686.820379
cond-mat.mtx;20;S;0.062025;2;16;7;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;21;F;0.001603;-1;-1;-1;6.004278;4.254793;1.749486;7686.820379;7688.569865
cond-mat.mtx;22;S;0.061837;2;12;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;23;F;0.001560;-1;-1;-1;1.685714;1.326190;0.359524;7688.569865;7688.929388
cond-mat.mtx;24;S;0.061409;2;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;25;F;0.001590;-1;-1;-1;1.100000;1.033333;0.066667;7688.929388;7688.996055
cond-mat.mtx;26;S;0.225502;3;116;52;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;27;F;0.001872;-1;-1;-1;129.221956;121.911278;7.310678;7688.996055;7696.306733
cond-mat.mtx;28;S;0.091762;3;14;6;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;29;F;0.001835;-1;-1;-1;10.800107;10.013201;0.786906;7696.306733;7697.093639
cond-mat.mtx;30;S;0.092705;3;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;31;F;0.001715;-1;-1;-1;3.576190;3.416663;0.159527;7697.093639;7697.253166
cond-mat.mtx;32;S;0.092638;3;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;33;F;0.001600;-1;-1;-1;2.492860;2.442860;0.050000;7697.253166;7697.303166
cond-mat.mtx;34;S;0.101856;3;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;35;F;0.001837;-1;-1;-1;2.542860;2.492860;0.050000;7697.303166;7697.353166
cond-mat.mtx;36;S;0.005420;1;33;15;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;37;F;0.001700;-1;-1;-1;5.551190;1.100000;4.451190;7697.353166;7701.804356
cond-mat.mtx;38;S;0.062698;2;8;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;39;F;0.001574;-1;-1;-1;3.928207;3.804399;0.123808;7701.804356;7701.928164
sd2010.mtx;0;S;0.035010;1;88360;14192;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
sd2010.mtx;1;F;0.006507;-1;-1;-1;3847928005.000000;0.000000;3847928005.000000;0.000000;3847928005.000000
sd2010.mtx;2;S;0.033642;1;56397;10757;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;3;F;0.007639;-1;-1;-1;1510502927.000000;0.000000;1510502927.000000;3847928005.000000;5358430932.000000
sd2010.mtx;4;S;0.033345;1;28805;6552;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;5;F;0.007529;-1;-1;-1;513397774.000000;0.000000;513397774.000000;5358430932.000000;5871828706.000000
sd2010.mtx;6;S;0.027040;1;11854;3057;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;7;F;0.007662;-1;-1;-1;139750120.000000;0.000000;139750120.000000;5871828706.000000;6011578826.000000
